NODEID,坐标X,坐标Y,地面高,R,gridcode
YS02005681,582218.0997,3497505.2165,9.829,700,21707
YS02005682,582246.6445,3497468.994,10.993,700,41563
YS02005683,582250.6987,3497483.072,11.044,700,32099
YS02005684,582254.6515,3497492.3698,10.325,700,31191
YS02005375,581160.7896,3496686.537,9.341,700,301628
YS02005376,581254.382,3496908.6629,11.103,700,224203
YS02005378,581246.6112,3496881.7113,11.154,700,234535
YS02005381,581231.3363,3496824.4509,11.196,700,255968
YS02005624,581695.2359,3497283.3301,12.012,700,96040
YS02005635,581757.9108,3497345.1511,9.433,700,74119
YS02005384,581219.9598,3496781.1741,11.145,700,268346
YS02005677,582183.1406,3497486.5185,11.209,700,31702
YS02005374,581166.9195,3496723.1182,9.338,700,289759
YSB1105,581602.6778,3497229.6568,11.781,700,113081
YSB1106,581631.0215,3497212.915,11.887,700,126248
YSB1109,581655.8593,3497198.3853,11.942,700,128052
YSB1112,581680.7921,3497183.6701,12.085,700,129856
YSB1115,581707.5749,3497168.0093,12.197,700,138926
YSB1118,581733.5072,3497152.9221,12.341,700,140987
YSB1121,581759.1969,3497137.7597,12.374,700,149800
YSB1124,581785.2528,3497122.3383,12.432,700,151861
YSB1128,581809.7905,3497108.2609,12.429,700,160673
YSB1132,581835.5531,3497092.9199,12.355,700,162734
YSB1227,581567.9135,3497218.3837,11.584,700,114600
YSB1228,581568.438,3497228.777,11.662,700,113320
YSB1229,581557.1955,3497261.5981,8.9,700,101955
YSB1202,581774.8798,3497100.7259,12.395,700,161679
YSB1135,581862.5648,3497077.4622,12.261,700,171547
YSB1138,581887.356,3497062.6663,12.068,700,173608
YSB1141,581913.1578,3497047.6974,11.827,700,182421
YSB1145,581937.9748,3497032.9336,11.694,700,184481
YSB1148,581964.5894,3497017.321,11.497,700,193294
YSB1151,581991.2876,3497001.5918,11.328,700,195356
YSB1154,582016.2119,3496986.9865,11.158,700,204424
YSB1198,581796.7842,3497087.6772,12.393,700,163226
YSB1192,581848.1438,3497057.7293,12.172,700,174100
YSB6556,582042.8604,3496971.5889,10.969,700,206229
YSB1205,581748.9897,3497116.1782,12.35,700,159619
YSB1209,581722.761,3497131.3759,12.222,700,150549
YSB1212,581696.7652,3497146.5617,12.126,700,148744
YSB1215,581670.6846,3497161.929,12.051,700,139675
YSB1218,581644.4962,3497177.2739,11.941,700,137614
YSB1221,581616.61,3497193.481,11.868,700,124704
YSB1224,581591.0366,3497208.56,11.747,700,122900
YSB1195,581822.2463,3497072.6707,12.28,700,172295
YSB1189,581874.1859,3497042.6676,11.961,700,183169
YSB1186,581899.992,3497027.4298,11.821,700,184974
YSB1183,581926.7091,3497011.7097,11.641,700,194043
YSB1180,581951.6596,3496997.0596,11.458,700,196104
YSB1177,581976.7973,3496982.5443,11.242,700,204916
YSB1174,582003.2854,3496966.855,11.059,700,206978
YSB1171,582030.2087,3496951.0829,10.854,700,216047
YSB1165,582047.3074,3496942.3796,10.873,700,217080
YS02005548,581525.6794,3497242.3809,9.327,700,111507
YS6132,581867.422,3496448.1746,10.722,800,385342
YS6137,581860.6126,3496428.2383,10.691,800,394906
YS6189,581855.0462,3496413.6984,10.59,800,396696
YS6188,581855.0462,3496413.6984,10.56,800,396696
YS6184,581838.3202,3496363.3168,10.54,800,417103
YS6179,581826.249,3496323.8098,10.58,800,429225
YS6176,581818.2756,3496299.698,10.6,800,439301
YS6175,581818.2756,3496299.698,10.58,800,439301
YS6171,581800.9005,3496248.1586,10.51,800,459964
YS6168,581789.7689,3496214.7642,10.51,800,471319
YS6167,581789.7689,3496214.7642,10.5,800,471319
YS6164,581778.4912,3496180.5694,10.63,800,482673
YS6162,581770.0197,3496154.6788,10.753,800,493005
YS6354,581892.4474,3496548.7853,10.75,800,351530
YS6351,581899.0841,3496574.158,10.71,800,341198
YS6350,581902.8566,3496588.794,10.72,800,339407
YS6348,581912.3053,3496626.9385,10.85,800,327540
YS6344,581921.3133,3496660.2005,10.993,800,316185
YS6375,581932.4439,3496666.6584,11.125,800,315422
YS6377,581966.8241,3496658.1178,10.96,800,316463
YS6381,582005.5676,3496648.5526,10.73,800,317763
YS6386,582043.6026,3496637.3034,10.48,800,319062
YS6390,582083.7485,3496627.4547,10.19,800,327370
YS6394,582100.2868,3496622.6779,10.12,800,328146
YS6395,582119.9337,3496627.7323,9.425,800,327388
YS6404,581912.7677,3496431.9726,10.23,800,394420
YS6401,581958.2839,3496420.7018,9.814,800,395979
YS02004319,581663.4128,3496489.987,20.797,750,372856
YS02004320,581630.8596,3496490.2013,24.34,750,372839
YS02004321,581595.6835,3496490.1526,28.28,750,368982
YS02004307,581809.5124,3496466.7585,11.732,700,383009
YS02004309,581777.5576,3496477.1221,13.069,750,374449
YS02004312,581743.3453,3496485.8712,14.91,750,373408
YS02004314,581714.1492,3496489.4798,16.991,750,372881
YS02004316,581685.6275,3496490.1404,19.125,750,372867
YS02405201,581836.3938,3496457.4138,11.147,750,384046
YS02003309,581551.1525,3496057.1614,9.775,750,522368
YS02003306,581578.3407,3496042.1029,9.601,630,524429
YS02003269,581946.7104,3495943.0275,9.217,800,562277
YS02003272,581909.4977,3495950.529,9.461,630,561235
YS02003278,581844.1443,3495963.0149,9.368,700,559666
YS02003281,581815.8777,3495968.1863,9.468,700,551876
YS02003284,581786.798,3495973.541,9.407,700,551093
YS02003287,581757.5295,3495979.1761,9.341,630,550311
YS02003290,581727.1099,3495983.837,9.455,630,549784
YS02003294,581695.7849,3495994.6945,9.425,630,548488
YS02003275,581868.8468,3495958.3883,9.419,700,560190
YS02003297,581665.8482,3496005.5789,9.426,630,539929
YS02003300,581635.6993,3496016.4154,9.419,630,538634
